id,university,OVERALL,ARTS,ENG,LIFE SCI,NATURAL,SOCIAL
1,Massachusetts Institute of Technology (MIT),100,86.1,96.9,94,97.4,91.7
2,Stanford University,98.7,90.6,95.6,92.6,96,92.2
3,Harvard University,98.3,97.5,89.4,97.8,96,96.5
4,University of Cambridge,97.2,97.6,94.4,95.3,96.3,93
5,California Institute of Technology (Caltech),96.9,64.5,87.4,75.2,92.6,69.3
6,University of Oxford,96.8,98.3,91.3,95.1,95.9,93.9
7,UCL (University College London),95.6,85.8,80.6,88.8,81.9,80.9
8,ETH Zurich - Swiss Federal Institute of Technology,94.2,72.4,93,80.5,95,75.6
9,Imperial College London,94.1,69.6,92.8,88.6,91.8,76.9
10,University of Chicago,93,85.8,73.5,82.3,87.3,84.2
11,Princeton University,92.8,88.9,82.5,75.8,89.8,83.5
12,National University of Singapore (NUS),91.5,85.7,91.6,86.3,90.6,87.6
13,"Nanyang Technological University, Singapore (NTU)",91.4,77,93.1,74.5,87.8,82.7
14,Ecole Polytechnique Fédérale de Lausanne (EPFL),91.1,-,90.3,76.2,91,-
15,Yale University,90.9,89.8,78.4,89.4,86.6,86.2
16,Cornell University,90.1,80.8,81.4,85.7,86,77.5
17,Johns Hopkins University,89.3,72.6,72.2,92.2,80.2,68.6
18,University of Pennsylvania,89,80.6,78.6,86,80.8,85.1
19,The University of Edinburgh,88.9,85,79.5,86.2,82.7,76.4
20,Columbia University,88.6,87.9,79.2,85.6,85.6,84.9
21,King's College London,87.7,82.7,72.8,87.2,73.8,75.2
22,The Australian National University,87.3,87.4,81.6,76.7,84.4,83.2
23,University of Michigan,86.4,80.7,81.3,83.9,82.4,80.1
24,Tsinghua University,86,78.6,91.2,73.8,88,79.9
25,Duke University,86,79.1,74.3,86.7,80.1,75.8
26,Northwestern University,85.7,72.3,77.8,78.3,83.3,78.6
27,The University of Hong Kong,85.4,86.7,84.8,83.2,87,85.4
28,"University of California, Berkeley (UCB)",85.2,91,91.5,88,93.9,88.4
29,The University of Manchester,84.8,77.9,80.4,80.7,83.1,78.2
30,McGill University,84.1,79,79.6,84.2,83.1,76.5
31,"University of California, Los Angeles (UCLA)",84,87.6,83.6,89.9,87.3,83.5
32,University of Toronto,83.8,85.8,83.3,87.8,86.9,80.9
33,"Ecole normale supérieure, Paris",82.9,69.7,-,-,78.1,-
34,The University of Tokyo,82.6,87.3,90.9,86.1,92.4,85.7
35,Seoul National University,82.1,81.5,86.8,82.5,86.8,81.4
36,The Hong Kong University of Science and Technology,81.8,68.9,87.7,-,83.9,81.6
37,Kyoto University,81.7,81.7,85.9,81.5,89.1,77.4
38,London School of Economics and Political Science (LSE),81.7,86.5,-,-,-,96.2
39,Peking University,81.3,83.5,87,80.5,89.2,83.1
40,"University of California, San Diego (UCSD)",80.6,72.3,76.6,87.7,82.9,70.2
41,University of Bristol,79.6,73.5,74.5,79.4,81.6,70.5
42,The University of Melbourne,79.5,85.9,84.5,88.3,85.6,84.5
43,Fudan University,79.4,77.2,81.4,76.6,83.7,76.8
44,The Chinese University of Hong Kong (CUHK),78.1,81,81.2,79.2,78,81.8
45,University of British Columbia,78,81.3,80.6,84.2,84.6,79.4
46,The University of Sydney,77.9,86.4,82.1,87.6,84.5,82.1
47,New York University (NYU),77.9,86.9,73,81,78,82.7
48,KAIST - Korea Advanced Institute of Science & Technology,77.9,-,88.6,-,85,72.8
49,The University of New South Wales (UNSW Sydney),77.8,80.1,83.5,81,79.3,82.7
50,Brown University,77.8,79.1,72.6,76.5,77.2,71.8
51,The University of Queensland,77.6,77,79.8,83.8,80.5,78.5
52,The University of Warwick,77.6,79.6,73.5,-,78.1,79.3
53,University of Wisconsin-Madison,75.7,73.8,76.9,79.6,82.5,73.6
54,Ecole Polytechnique,75.7,-,78.7,-,84.9,-
55,City University of Hong Kong,75.4,76.7,78.4,-,74.6,75.9
56,Tokyo Institute of Technology,74.9,-,87,-,86.6,-
57,University of Amsterdam,74.3,76.9,73,82.5,78,76.5
58,Carnegie Mellon University,74.2,69.7,83.5,-,79.7,70.3
59,University of Washington,73.9,72.9,77.3,86,84,71.4
60,Technical University of Munich,72.4,-,85.2,77.3,87.5,67.1
61,Shanghai Jiao Tong University,72.2,69.6,85.2,75.4,80.2,76.5
62,Delft University of Technology,72.1,69,86.9,-,79.7,65.9
63,Osaka University,71.7,68.5,80.3,79,84.4,68.2
64,University of Glasgow,71.7,74.2,71.2,80.9,76.4,69.6
65,Monash University,71.6,79.2,81.7,84.2,79.9,81.1
66,University of Illinois at Urbana-Champaign,71.4,70.9,82.2,71,82.9,69.5
67,University of Texas at Austin,70.7,78,81.7,72.6,82,74.3
68,Ludwig-Maximilians-Universität München,70.2,76.3,72,81,85,72.5
69,National Taiwan University (NTU),70.2,81.3,85.4,81,86.2,79
70,University of Copenhagen,70.2,75.6,73,85.5,83,74.3
71,Georgia Institute of Technology,69.8,-,87.6,-,82.5,66.9
72,Ruprecht-Karls-Universität Heidelberg,69.7,74.2,-,81.4,83,68.4
73,Lund University,69.1,68.8,74.8,76.6,79.1,70.4
74,Durham University,68.8,78.3,-,-,80.6,70.5
75,Tohoku University,68.7,-,79.7,74.3,84.5,65.3
76,The University of Nottingham,68.7,71.4,74,78.9,74.5,70.8
